filename,det_thresh,max_age,iou_thresh,delta_t,avg_precision,avg_recall,total_IDsw,total_frames,runtime
/mnt/drv8tb/tempo_remapped/export_output_path/2021-11-11_dinner_1_post_cam0.json,0.3,9,0.3,1,0.8702171912730396,0.6804679741487744,380,6310,3.34104061126709
/mnt/drv8tb/tempo_remapped/export_output_path/2021-11-11_dinner_1_post_cam1.json,0.3,9,0.3,1,0.8676735613436422,0.6708163679457794,176,6310,1.9406664371490479
/mnt/drv8tb/tempo_remapped/export_output_path/2021-11-10_supper_1_post_cam1.json,0.3,9,0.3,1,0.848699488529715,0.29888454127357006,448,7351,2.087810754776001
/mnt/drv8tb/tempo_remapped/export_output_path/2021-11-10_supper_1_post_cam0.json,0.3,9,0.3,1,0.8909957095748414,0.5775871837910145,230,7351,1.4052298069000244
/mnt/drv8tb/tempo_remapped/export_output_path/2021-11-10_lunch_5_post_cam0.json,0.3,9,0.3,1,0.7098044815063923,0.6320825144801362,1032,7165,5.552557945251465
/mnt/drv8tb/tempo_remapped/export_output_path/2021-11-10_lunch_5_post_cam1.json,0.3,9,0.3,1,0.7910258020736928,0.5966304605769703,1032,7165,4.618444919586182
/mnt/drv8tb/tempo_remapped/export_output_path/2021-11-10_lunch_1_post_cam1.json,0.3,9,0.3,1,0.7151910454865161,0.4407310340239895,2291,10220,7.166313886642456
/mnt/drv8tb/tempo_remapped/export_output_path/2021-11-10_lunch_1_post_cam0.json,0.3,9,0.3,1,0.6976280925551507,0.4640261906237507,2836,10220,8.456129312515259
/mnt/drv8tb/tempo_remapped/export_output_path/2021-11-10_lunch_2_post_cam1.json,0.3,9,0.3,1,0.746308089995679,0.4762463711387029,1267,6890,4.6593687534332275
/mnt/drv8tb/tempo_remapped/export_output_path/2021-11-10_lunch_2_post_cam0.json,0.3,9,0.3,1,0.760534886181797,0.4951027944438558,1474,6890,5.173036336898804
/mnt/drv8tb/tempo_remapped/export_output_path/2021-11-11_breakfast_1_post_cam0.json,0.3,9,0.3,1,0.8246871414628981,0.7814245565385879,571,14000,8.316360235214233
/mnt/drv8tb/tempo_remapped/export_output_path/2021-11-11_breakfast_1_post_cam1.json,0.3,9,0.3,1,0.8460720018184078,0.6860302969871999,257,14000,6.092251777648926
/mnt/drv8tb/tempo_remapped/export_output_path/2021-11-11_dinner_1_post_cam0.json,0.3,9,0.3,3,0.8702171912730396,0.6804679741487744,380,6310,3.2059473991394043
/mnt/drv8tb/tempo_remapped/export_output_path/2021-11-11_dinner_1_post_cam1.json,0.3,9,0.3,3,0.8676735613436422,0.6708163679457794,176,6310,1.947911262512207
/mnt/drv8tb/tempo_remapped/export_output_path/2021-11-10_supper_1_post_cam1.json,0.3,9,0.3,3,0.84800667025645,0.29888454127357006,448,7351,2.125030040740967
/mnt/drv8tb/tempo_remapped/export_output_path/2021-11-10_supper_1_post_cam0.json,0.3,9,0.3,3,0.8909957095748414,0.5775871837910145,230,7351,1.4059398174285889
/mnt/drv8tb/tempo_remapped/export_output_path/2021-11-10_lunch_5_post_cam0.json,0.3,9,0.3,3,0.70977298748296,0.6390020705532977,1028,7165,5.599729537963867
/mnt/drv8tb/tempo_remapped/export_output_path/2021-11-10_lunch_5_post_cam1.json,0.3,9,0.3,3,0.79021403112742,0.5993683515575302,1034,7165,4.769537687301636
/mnt/drv8tb/tempo_remapped/export_output_path/2021-11-10_lunch_1_post_cam1.json,0.3,9,0.3,3,0.7151910454865161,0.4407310340239895,2291,10220,7.2821855545043945
/mnt/drv8tb/tempo_remapped/export_output_path/2021-11-10_lunch_1_post_cam0.json,0.3,9,0.3,3,0.6952759695248624,0.46112742695380254,2832,10220,8.439250946044922
/mnt/drv8tb/tempo_remapped/export_output_path/2021-11-10_lunch_2_post_cam1.json,0.3,9,0.3,3,0.7463600178248432,0.47686642365256066,1267,6890,4.607669115066528
/mnt/drv8tb/tempo_remapped/export_output_path/2021-11-10_lunch_2_post_cam0.json,0.3,9,0.3,3,0.760534886181797,0.4951027944438558,1474,6890,5.029635906219482
/mnt/drv8tb/tempo_remapped/export_output_path/2021-11-11_breakfast_1_post_cam0.json,0.3,9,0.3,3,0.8246871414628981,0.7814245565385879,571,14000,8.234642028808594
/mnt/drv8tb/tempo_remapped/export_output_path/2021-11-11_breakfast_1_post_cam1.json,0.3,9,0.3,3,0.8466932533166108,0.6860302969871999,257,14000,6.005150079727173
/mnt/drv8tb/tempo_remapped/export_output_path/2021-11-11_dinner_1_post_cam0.json,0.3,9,0.3,5,0.8702171912730396,0.6804679741487744,380,6310,3.352687120437622
/mnt/drv8tb/tempo_remapped/export_output_path/2021-11-11_dinner_1_post_cam1.json,0.3,9,0.3,5,0.8676735613436422,0.6708163679457794,176,6310,1.9016191959381104
/mnt/drv8tb/tempo_remapped/export_output_path/2021-11-10_supper_1_post_cam1.json,0.3,9,0.3,5,0.848699488529715,0.29888454127357006,448,7351,2.10758638381958
/mnt/drv8tb/tempo_remapped/export_output_path/2021-11-10_supper_1_post_cam0.json,0.3,9,0.3,5,0.8909957095748414,0.5775871837910145,230,7351,1.3770945072174072
/mnt/drv8tb/tempo_remapped/export_output_path/2021-11-10_lunch_5_post_cam0.json,0.3,9,0.3,5,0.709690278041731,0.6399498468035661,1024,7165,5.562621593475342
/mnt/drv8tb/tempo_remapped/export_output_path/2021-11-10_lunch_5_post_cam1.json,0.3,9,0.3,5,0.79021403112742,0.5993683515575302,1034,7165,4.78352427482605
/mnt/drv8tb/tempo_remapped/export_output_path/2021-11-10_lunch_1_post_cam1.json,0.3,9,0.3,5,0.7151910454865161,0.4407310340239895,2291,10220,7.264138460159302
/mnt/drv8tb/tempo_remapped/export_output_path/2021-11-10_lunch_1_post_cam0.json,0.3,9,0.3,5,0.6962916569966148,0.46112742695380254,2834,10220,8.565427541732788
/mnt/drv8tb/tempo_remapped/export_output_path/2021-11-10_lunch_2_post_cam1.json,0.3,9,0.3,5,0.7463600178248432,0.47686642365256066,1267,6890,4.802241086959839
/mnt/drv8tb/tempo_remapped/export_output_path/2021-11-10_lunch_2_post_cam0.json,0.3,9,0.3,5,0.760534886181797,0.4951027944438558,1474,6890,5.1692047119140625
/mnt/drv8tb/tempo_remapped/export_output_path/2021-11-11_breakfast_1_post_cam0.json,0.3,9,0.3,5,0.8246871414628981,0.7814245565385879,571,14000,8.620087623596191
/mnt/drv8tb/tempo_remapped/export_output_path/2021-11-11_breakfast_1_post_cam1.json,0.3,9,0.3,5,0.8466932533166108,0.6860302969871999,257,14000,6.133302927017212
/mnt/drv8tb/tempo_remapped/export_output_path/2021-11-11_dinner_1_post_cam0.json,0.3,9,0.4,1,0.88799837610013,0.6734022537102788,390,6310,3.279881715774536
/mnt/drv8tb/tempo_remapped/export_output_path/2021-11-11_dinner_1_post_cam1.json,0.3,9,0.4,1,0.8730197317476631,0.6708163679457794,178,6310,1.884836196899414
