filename,track_thresh,match_thresh,track_buffer,avg_precision,avg_recall,total_IDsw,total_frames,runtime
/mnt/drv8tb/tempo_remapped/export_output_path/2021-11-11_dinner_1_post_cam0.json,0.25,0.5,9,0.9853174603174604,0.6326964266251491,79,6310,2.888972282409668
/mnt/drv8tb/tempo_remapped/export_output_path/2021-11-11_dinner_1_post_cam1.json,0.25,0.5,9,0.967572658294459,0.5808938227389324,83,6310,1.7314586639404297
/mnt/drv8tb/tempo_remapped/export_output_path/2021-11-10_supper_1_post_cam1.json,0.25,0.5,9,0.9940907357987038,0.22266175832432689,216,7351,2.2742252349853516
/mnt/drv8tb/tempo_remapped/export_output_path/2021-11-10_supper_1_post_cam0.json,0.25,0.5,9,0.9918367346938776,0.428621972104595,119,7351,1.514894962310791
/mnt/drv8tb/tempo_remapped/export_output_path/2021-11-10_lunch_5_post_cam0.json,0.25,0.5,9,0.9812758609947482,0.7319703776899762,124,7165,5.121994495391846
/mnt/drv8tb/tempo_remapped/export_output_path/2021-11-10_lunch_5_post_cam1.json,0.25,0.5,9,0.985674483065208,0.7734389219171558,149,7165,4.236258506774902
/mnt/drv8tb/tempo_remapped/export_output_path/2021-11-10_lunch_1_post_cam1.json,0.25,0.5,9,0.9899285990010402,0.5681476556844188,470,10220,6.365899562835693
/mnt/drv8tb/tempo_remapped/export_output_path/2021-11-10_lunch_1_post_cam0.json,0.25,0.5,9,0.9867141139686745,0.5529212183043171,409,10220,7.392856597900391
/mnt/drv8tb/tempo_remapped/export_output_path/2021-11-10_lunch_2_post_cam1.json,0.25,0.5,9,0.9851008029194064,0.5148131428918415,219,6890,5.403973817825317
/mnt/drv8tb/tempo_remapped/export_output_path/2021-11-10_lunch_2_post_cam0.json,0.25,0.5,9,0.9885402342755283,0.6915394655317358,131,6890,5.0196874141693115
/mnt/drv8tb/tempo_remapped/export_output_path/2021-11-11_breakfast_1_post_cam0.json,0.25,0.5,9,0.9688259109311741,0.7766053692649539,69,14000,7.875689506530762
/mnt/drv8tb/tempo_remapped/export_output_path/2021-11-11_breakfast_1_post_cam1.json,0.25,0.5,9,0.9818295739348372,0.6405010860131992,68,14000,5.821317672729492
/mnt/drv8tb/tempo_remapped/export_output_path/2021-11-11_dinner_1_post_cam0.json,0.25,0.6,9,0.9751576744057946,0.666216759390506,67,6310,2.9269649982452393
/mnt/drv8tb/tempo_remapped/export_output_path/2021-11-11_dinner_1_post_cam1.json,0.25,0.6,9,0.9651379048582996,0.6364869279136276,69,6310,1.7992417812347412
/mnt/drv8tb/tempo_remapped/export_output_path/2021-11-10_supper_1_post_cam1.json,0.25,0.6,9,0.9924242424242424,0.32067515445542,174,7351,1.975445032119751
/mnt/drv8tb/tempo_remapped/export_output_path/2021-11-10_supper_1_post_cam0.json,0.25,0.6,9,0.9901639344262294,0.5805706553895994,92,7351,1.2444446086883545
/mnt/drv8tb/tempo_remapped/export_output_path/2021-11-10_lunch_5_post_cam0.json,0.25,0.6,9,0.9715687147823346,0.8211532315889628,92,7165,5.758862018585205
/mnt/drv8tb/tempo_remapped/export_output_path/2021-11-10_lunch_5_post_cam1.json,0.25,0.6,9,0.9797648687432544,0.8403219434655089,99,7165,4.972271203994751
/mnt/drv8tb/tempo_remapped/export_output_path/2021-11-10_lunch_1_post_cam1.json,0.25,0.6,9,0.9902623365775999,0.6086677523569272,409,10220,6.843369007110596
/mnt/drv8tb/tempo_remapped/export_output_path/2021-11-10_lunch_1_post_cam0.json,0.25,0.6,9,0.9823813686957023,0.5530615661079685,349,10220,7.652260065078735
/mnt/drv8tb/tempo_remapped/export_output_path/2021-11-10_lunch_2_post_cam1.json,0.25,0.6,9,0.9837195850126885,0.5622918159560217,147,6890,4.225595235824585
/mnt/drv8tb/tempo_remapped/export_output_path/2021-11-10_lunch_2_post_cam0.json,0.25,0.6,9,0.9818531431230502,0.692389793902532,90,6890,4.643394947052002
/mnt/drv8tb/tempo_remapped/export_output_path/2021-11-11_breakfast_1_post_cam0.json,0.25,0.6,9,0.9488095238095239,0.8229750923308133,39,14000,8.002231359481812
/mnt/drv8tb/tempo_remapped/export_output_path/2021-11-11_breakfast_1_post_cam1.json,0.25,0.6,9,0.9773399014778325,0.7198233001296797,54,14000,5.764207124710083
/mnt/drv8tb/tempo_remapped/export_output_path/2021-11-11_dinner_1_post_cam0.json,0.25,0.7,9,0.9707983193277312,0.6731256948268377,54,6310,3.0120370388031006
/mnt/drv8tb/tempo_remapped/export_output_path/2021-11-11_dinner_1_post_cam1.json,0.25,0.7,9,0.9578001421156699,0.6929506031273027,59,6310,1.801990032196045
/mnt/drv8tb/tempo_remapped/export_output_path/2021-11-10_supper_1_post_cam1.json,0.25,0.7,9,0.9914867109634552,0.3418172212406403,157,7351,1.900362491607666
/mnt/drv8tb/tempo_remapped/export_output_path/2021-11-10_supper_1_post_cam0.json,0.25,0.7,9,0.9867021276595744,0.6547468150710545,70,7351,1.2438602447509766
/mnt/drv8tb/tempo_remapped/export_output_path/2021-11-10_lunch_5_post_cam0.json,0.25,0.7,9,0.9674554201056694,0.8264581161402472,83,7165,5.195101976394653
/mnt/drv8tb/tempo_remapped/export_output_path/2021-11-10_lunch_5_post_cam1.json,0.25,0.7,9,0.9749126565806541,0.8405199349963202,86,7165,4.372114658355713
/mnt/drv8tb/tempo_remapped/export_output_path/2021-11-10_lunch_1_post_cam1.json,0.25,0.7,9,0.9882256760055008,0.6105799600384801,379,10220,6.684271574020386
